Algorithm,Mode,Run,Coupling,MoJoFM,Hypervolume,LLM_Calls
NSGA-II,Baseline,0,339.0000001903558,18.69158878504673,684.0399996224289,0
NSGA-II,Baseline,1,364.0000004436081,22.429906542056074,639.5400140754706,0
NSGA-II,Semanti-MOP,0,345.0000000016784,14.018691588785046,674.5000229119521,80
NSGA-II,Semanti-MOP,1,330.0000006889093,20.5607476635514,697.0000138303624,80
MOEA/D,Baseline,0,407.00000072193495,19.626168224299064,533.7600268688134,0
MOEA/D,Baseline,1,406.0000008838856,14.953271028037381,536.640000264413,0
MOEA/D,Semanti-MOP,0,394.00000058091206,17.75700934579439,569.6400282961815,9
MOEA/D,Semanti-MOP,1,391.00000033113724,14.018691588785046,577.439997876442,80
NSGA-III,Baseline,0,331.0000003630027,17.75700934579439,695.6400003997729,0
NSGA-III,Baseline,1,342.000000345714,18.69158878504673,679.3599981141363,0
NSGA-III,Semanti-MOP,0,332.0000007897608,18.69158878504673,694.2600246410951,80
NSGA-III,Semanti-MOP,1,339.00000041354434,17.75700934579439,684.0400002337483,80
AGE-MOEA-II,Baseline,0,306.00000003652326,13.084112149532709,723.6400125644521,0
AGE-MOEA-II,Baseline,1,315.0000000164587,15.887850467289718,715.0000268067511,0
AGE-MOEA-II,Semanti-MOP,0,348.00000003493994,18.69158878504673,669.4600184157136,80
AGE-MOEA-II,Semanti-MOP,1,340.0000000896952,20.5607476635514,682.5000312948684,80
R-NSGA-II,Baseline,0,311.00000004378484,20.5607476635514,719.0399998063808,0
R-NSGA-II,Baseline,1,358.00000017432166,20.5607476635514,651.3600097355827,0
R-NSGA-II,Semanti-MOP,0,354.0000001717506,17.75700934579439,658.840042363835,80
R-NSGA-II,Semanti-MOP,1,348.0000000480827,19.626168224299064,669.4600119925639,80
U-NSGA-III,Baseline,0,313.00000001964656,16.822429906542055,717.0600261250629,0
U-NSGA-III,Baseline,1,344.0000000341423,20.5607476635514,676.1400281104286,0
U-NSGA-III,Semanti-MOP,0,350.00000009151034,20.5607476635514,666.00002010996,80
U-NSGA-III,Semanti-MOP,1,328.0000004421286,15.887850467289718,699.6600266722292,80
Random Search,Baseline,0,401.0000009209246,17.75700934579439,550.7400499618634,0
Random Search,Baseline,1,391.0000000054255,17.75700934579439,577.4400440562982,0
Random Search,Semanti-MOP,0,395.0000004509041,16.822429906542055,567.0000329337396,80
Random Search,Semanti-MOP,1,395.0000000019113,17.75700934579439,567.0000274301833,80
