,,cargo- structural conflict,,,,
,,,,,,
,Class,Service A,Service B,Decision,Reason,Model
0,VoyageRepositoryInMem,"GraphTraversalService, PathfinderApplicationContext, GraphDAOStub, GraphTraversalServiceImpl, RoutingStatus","Application, ApplicationEvents, CargoInspectionService, CargoInspectionServiceImpl, Cargo",B,Inferred from raw text output due to JSON parsing failure.,llama2
1,LocationRepositoryInMem,"Application, ApplicationEvents, CargoInspectionService, CargoInspectionServiceImpl, Cargo","GraphTraversalService, PathfinderApplicationContext, GraphDAOStub, GraphTraversalServiceImpl, RoutingStatus",B,Inferred from raw text output due to JSON parsing failure.,llama2
2,CargoRepositoryInMem,"DateUtils, Delivery, HandlingHistory, CarrierMovement, Schedule","GraphDAO, BookingService, HandlingEventService, CargoRepository, Itinerary",B,Inferred from raw text output due to JSON parsing failure.,llama2
3,CargoDetailsPage,"GraphDAO, BookingService, HandlingEventService, CargoRepository, Itinerary","DateUtils, Delivery, HandlingHistory, CarrierMovement, Schedule",B,Inferred from raw text output due to JSON parsing failure.,llama2
4,AlwaysTrueSpec,"Application, ApplicationEvents, CargoInspectionService, CargoInspectionServiceImpl, Cargo","GraphDAO, BookingService, HandlingEventService, CargoRepository, Itinerary",B,Inferred from raw text output due to JSON parsing failure.,llama2
5,CargoRoutingPage,"BookingService, BookingServiceImpl, CargoFactory, CargoRepository, UnknownVoyageException","TransitPath, GraphDAO, GraphDAOStub, Application, ApplicationEvents",B,Inferred from raw text output due to JSON parsing failure.,llama2
6,BookingServiceFacade,"BookingService, BookingServiceImpl, CargoFactory, CargoRepository, UnknownVoyageException","CargoInspectionService, HandlingEventService, HandlingEventServiceImpl, DateUtils, DDDSampleApplicationContext",B,Inferred from raw text output due to JSON parsing failure.,llama2
7,RegistrationCommand,"GraphTraversalService, GraphTraversalServiceImpl, LocationRepository, AndSpecification, CargoHandledConsumer","TransitPath, GraphDAO, GraphDAOStub, Application, ApplicationEvents",B,Inferred from raw text output due to JSON parsing failure.,llama2
8,CargoAdminController,"TransitPath, GraphDAO, GraphDAOStub, Application, ApplicationEvents","GraphTraversalService, GraphTraversalServiceImpl, LocationRepository, AndSpecification, CargoHandledConsumer",B,Inferred from raw text output due to JSON parsing failure.,llama2
9,ItineraryCandidateDTOAssembler,"GraphTraversalService, GraphTraversalServiceImpl, LocationRepository, AndSpecification, CargoHandledConsumer","TransitPath, GraphDAO, GraphDAOStub, Application, ApplicationEvents",B,Inferred from raw text output due to JSON parsing failure.,llama2
