,Algorithm,Mode,Mean_Coupling,Std_Coupling,Mean_MoJoFM,Std_MoJoFM,Mean_HV,Std_HV,Total_LLM_Calls
0,AGE-MOEA-II,Baseline,11207.000000220047,43.41380679101344,7.324860039340294,0.23495662623041944,357916.25114230055,3480.645944006187,0
1,AGE-MOEA-II,Semanti-MOP,11197.533333585337,38.39965273625133,7.364200332879407,0.2675348064167752,358679.11513065215,3075.1320321247613,2400
2,MOEA/D,Baseline,11418.766666988198,32.51703359563763,7.25828415796641,0.2079639964907918,340479.4052964766,2743.5996355897487,0
3,MOEA/D,Semanti-MOP,11424.600000349663,23.212065772036055,7.234074746557725,0.20903176709248264,339991.1883671624,1968.4239432952616,1105
4,NSGA-II,Baseline,11210.000000177575,36.30806879536781,7.29611136329248,0.2152117063171859,357680.85711866245,2915.041842445564,0
5,NSGA-II,Semanti-MOP,11197.233333619777,32.80631061587143,7.430776214253291,0.2559897688613272,358706.98551181116,2632.030941653442,2400
6,NSGA-III,Baseline,11174.066667114867,30.42110576545753,7.427750037827206,0.19893037716999754,360557.9074039314,2435.052627254408,0
7,NSGA-III,Semanti-MOP,11156.766667179461,38.473173197631006,7.344530186109851,0.27402040646889414,361926.65505712066,3068.069208965871,2400
8,R-NSGA-II,Baseline,11212.800000264131,33.588175206369016,7.359661068240279,0.24364138940767002,357457.72040470707,2699.3782069935046,0
9,R-NSGA-II,Semanti-MOP,11211.400000325842,49.21003538378462,7.359661068240279,0.2332113299499868,357557.7237203104,3942.113676063524,2400
10,Random Search,Baseline,11405.633333471087,17.901037022962583,7.29611136329248,0.21388704227743202,341594.50959127914,1508.42012765575,0
11,Random Search,Semanti-MOP,11404.666666871315,19.09383967470814,7.202299894083826,0.20136211154540207,341675.4983395063,1605.6712368054455,2400
12,U-NSGA-III,Baseline,11180.333333621851,47.69467060054769,7.394462097140264,0.23064307548101004,360045.6362519001,3815.506252191898,0
13,U-NSGA-III,Semanti-MOP,11195.266666991598,33.83523295126518,7.282493569375095,0.22639380517430838,358863.7442754274,2702.7318207652884,2400
