,Class,Service A,Service B,Decision,Reason,Model
0,FlinkClass2202,"FlinkClass3, FlinkClass4, FlinkClass7, FlinkClass10, FlinkClass13","FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32",B,FlinkClass2202 is not in the list of classes for Service A.,phi
1,FlinkClass862,"FlinkClass1, FlinkClass9, FlinkClass11, FlinkClass12, FlinkClass19","FlinkClass3, FlinkClass4, FlinkClass7, FlinkClass10, FlinkClass13",B,FlinkClass862 is not in Service A's list of classes.,phi
2,FlinkClass864,"FlinkClass1, FlinkClass9, FlinkClass11, FlinkClass12, FlinkClass19","FlinkClass0, FlinkClass16, FlinkClass23, FlinkClass28, FlinkClass33",B,FlinkClass864 is not in Service A's list of classes.,phi
3,FlinkClass870,"FlinkClass1, FlinkClass9, FlinkClass11, FlinkClass12, FlinkClass19","FlinkClass0, FlinkClass16, FlinkClass23, FlinkClass28, FlinkClass33",B,"FlinkClass870 is a subclass of FlinkClass23, which belongs to Service B.",phi
4,FlinkClass871,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass0, FlinkClass16, FlinkClass23, FlinkClass28, FlinkClass33",B,"FlinkClass871 is not in Service A's class list, but it is in Service B's class list.",phi
5,FlinkClass1100,"FlinkClass9, FlinkClass15, FlinkClass16, FlinkClass22, FlinkClass24","FlinkClass3, FlinkClass4, FlinkClass5, FlinkClass6, FlinkClass8",B,Inferred from raw text output due to JSON parsing failure.,phi
6,FlinkClass1119,"FlinkClass0, FlinkClass7, FlinkClass10, FlinkClass12, FlinkClass13","FlinkClass3, FlinkClass4, FlinkClass5, FlinkClass6, FlinkClass8",B,It does not handle customer data.,phi
7,FlinkClass1110,"FlinkClass9, FlinkClass15, FlinkClass16, FlinkClass22, FlinkClass24","FlinkClass1, FlinkClass2, FlinkClass17, FlinkClass19, FlinkClass20",B,FlinkClass111 is not in the list of classes for Service A. It belongs to Service B.,phi
8,FlinkClass1108,"FlinkClass11, FlinkClass18, FlinkClass29, FlinkClass30, FlinkClass37","FlinkClass0, FlinkClass7, FlinkClass10, FlinkClass12, FlinkClass13",B,"FlinkClass1108 is a subclass of FlinkClass0, which belongs to Service B.",phi
9,FlinkClass1102,"FlinkClass1, FlinkClass2, FlinkClass17, FlinkClass19, FlinkClass20","FlinkClass3, FlinkClass4, FlinkClass5, FlinkClass6, FlinkClass8",B,FlinkClass1102 is not in Service A's list of classes.,phi
10,FlinkClass1504,"FlinkClass3, FlinkClass4, FlinkClass7, FlinkClass10, FlinkClass13","FlinkClass2, FlinkClass5, FlinkClass20, FlinkClass21, FlinkClass29",B,FlinkClass1504 is not in Service A's list of classes.,phi
11,FlinkClass1229,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass1, FlinkClass9, FlinkClass11, FlinkClass12, FlinkClass19",B,FlinkClass1229 is not in the list of classes for Service A. It belongs to Service B.,phi
12,FlinkClass1237,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass0, FlinkClass16, FlinkClass23, FlinkClass28, FlinkClass33",B,"FlinkClass1237 is not in Service A's class list, but it is in Service B's class list.",phi
13,FlinkClass1500,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass3, FlinkClass4, FlinkClass7, FlinkClass10, FlinkClass13",B,FlinkClass1500,phi
14,FlinkClass1838,"FlinkClass3, FlinkClass4, FlinkClass7, FlinkClass10, FlinkClass13","FlinkClass2, FlinkClass5, FlinkClass20, FlinkClass21, FlinkClass29",B,FlinkClass1838,phi
15,FlinkClass567,"FlinkClass0, FlinkClass16, FlinkClass23, FlinkClass28, FlinkClass33","FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32",B,FlinkClass567 is not in the list of classes for Service A. It belongs to Service B.,phi
16,FlinkClass1825,"FlinkClass2, FlinkClass5, FlinkClass20, FlinkClass21, FlinkClass29","FlinkClass3, FlinkClass4, FlinkClass7, FlinkClass10, FlinkClass13",B,FlinkClass182 is not in Service A or B.,phi
17,FlinkClass550,"FlinkClass2, FlinkClass5, FlinkClass20, FlinkClass21, FlinkClass29","FlinkClass1, FlinkClass9, FlinkClass11, FlinkClass12, FlinkClass19",B,"FlinkClass550 is a subclass of FlinkClass1, which belongs to Service B.",phi
18,FlinkClass576,"FlinkClass1, FlinkClass9, FlinkClass11, FlinkClass12, FlinkClass19","FlinkClass3, FlinkClass4, FlinkClass7, FlinkClass10, FlinkClass13",B,"FlinkClass576 is a subclass of FlinkClass4, which belongs to Service B.",phi
19,FlinkClass565,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass0, FlinkClass16, FlinkClass23, FlinkClass28, FlinkClass33",B,"FlinkClass565 is not in Service A's list of classes, but it is in Service B's list.",phi
20,FlinkClass1788,"FlinkClass0, FlinkClass16, FlinkClass23, FlinkClass28, FlinkClass33","FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32",B,FlinkClass1788 is not in Service A or B.,phi
21,FlinkClass553,"FlinkClass3, FlinkClass4, FlinkClass7, FlinkClass10, FlinkClass13","FlinkClass2, FlinkClass5, FlinkClass20, FlinkClass21, FlinkClass29",B,"FlinkClass553 is a subclass of FlinkClass2, which belongs to Service B.",phi
22,FlinkClass1787,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass3, FlinkClass4, FlinkClass7, FlinkClass10, FlinkClass13",B,"FlinkClass1787 is a subclass of FlinkClass3, which belongs to Service B.",phi
23,FlinkClass1785,"FlinkClass1, FlinkClass9, FlinkClass11, FlinkClass12, FlinkClass19","FlinkClass0, FlinkClass16, FlinkClass23, FlinkClass28, FlinkClass33",B,It does not handle customer data.,phi
24,FlinkClass1784,"FlinkClass2, FlinkClass5, FlinkClass20, FlinkClass21, FlinkClass29","FlinkClass1, FlinkClass9, FlinkClass11, FlinkClass12, FlinkClass19",B,It does not handle customer data.,phi
25,FlinkClass1138,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass2, FlinkClass5, FlinkClass20, FlinkClass21, FlinkClass29",B,FlinkClass1138 is not in Service A or B.,phi
26,FlinkClass559,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass1, FlinkClass9, FlinkClass11, FlinkClass12, FlinkClass19",B,"FlinkClass559 is a subclass of FlinkClass1, which belongs to Service B.",phi
27,FlinkClass556,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass3, FlinkClass4, FlinkClass7, FlinkClass10, FlinkClass13",B,"FlinkClass556 is a subclass of FlinkClass4, which belongs to Service B.",phi
28,FlinkClass555,"FlinkClass3, FlinkClass4, FlinkClass7, FlinkClass10, FlinkClass13","FlinkClass2, FlinkClass5, FlinkClass20, FlinkClass21, FlinkClass29",B,FlinkClass555 is not in the list of classes for Service A.,phi
29,FlinkClass561,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass0, FlinkClass16, FlinkClass23, FlinkClass28, FlinkClass33",B,"FlinkClass561 is not in Service A's class list, but it is in Service B's class list.",phi
30,FlinkClass569,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass2, FlinkClass5, FlinkClass20, FlinkClass21, FlinkClass29",B,FlinkClass569 is not found in Service A or Service B.,phi
31,FlinkClass539,"FlinkClass1, FlinkClass9, FlinkClass11, FlinkClass12, FlinkClass19","FlinkClass3, FlinkClass4, FlinkClass7, FlinkClass10, FlinkClass13",B,FlinkClass539 is not in Service A's list of classes.,phi
32,FlinkClass568,"FlinkClass2, FlinkClass5, FlinkClass20, FlinkClass21, FlinkClass29","FlinkClass1, FlinkClass9, FlinkClass11, FlinkClass12, FlinkClass19",B,Inferred from raw text output due to JSON parsing failure.,phi
33,FlinkClass563,"FlinkClass0, FlinkClass16, FlinkClass23, FlinkClass28, FlinkClass33","FlinkClass1, FlinkClass9, FlinkClass11, FlinkClass12, FlinkClass19",B,"It is an API-level transformation logic, which belongs to Service B.",phi
34,FlinkClass570,"FlinkClass1, FlinkClass9, FlinkClass11, FlinkClass12, FlinkClass19","FlinkClass3, FlinkClass4, FlinkClass7, FlinkClass10, FlinkClass13",B,It does not handle customer data.,phi
35,FlinkClass2192,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass3, FlinkClass4, FlinkClass7, FlinkClass10, FlinkClass13",B,Inferred from raw text output due to JSON parsing failure.,phi
36,FlinkClass1167,"FlinkClass3, FlinkClass4, FlinkClass7, FlinkClass10, FlinkClass13","FlinkClass1, FlinkClass9, FlinkClass11, FlinkClass12, FlinkClass19",B,FlinkClass1167 is not in the list of classes for Service A or B.,phi
37,FlinkClass496,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass0, FlinkClass16, FlinkClass23, FlinkClass28, FlinkClass33",B,FlinkClass496 is not in Service A or Service B. It belongs to a new service.,phi
38,FlinkClass488,"FlinkClass0, FlinkClass16, FlinkClass23, FlinkClass28, FlinkClass33","FlinkClass1, FlinkClass9, FlinkClass11, FlinkClass12, FlinkClass19",B,FlinkClass488 is a specialized class that is not used in either Service A or Service B. It is an internal component of the Flink runtime.,phi
39,FlinkClass486,"FlinkClass1, FlinkClass9, FlinkClass11, FlinkClass12, FlinkClass19","FlinkClass3, FlinkClass4, FlinkClass7, FlinkClass10, FlinkClass13",B,FlinkClass486 is not in Service A or B.,phi
40,FlinkClass1992,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass0, FlinkClass16, FlinkClass23, FlinkClass28, FlinkClass33",B,"FlinkClass1992 is not in Service A's class list, but it is in Service B's class list.",phi
41,FlinkClass348,"FlinkClass2, FlinkClass5, FlinkClass20, FlinkClass21, FlinkClass29","FlinkClass3, FlinkClass4, FlinkClass7, FlinkClass10, FlinkClass13",B,"FlinkClass348 is a subclass of FlinkClass3, which belongs to Service B.",phi
42,FlinkClass341,"FlinkClass2, FlinkClass5, FlinkClass20, FlinkClass21, FlinkClass29","FlinkClass1, FlinkClass9, FlinkClass11, FlinkClass12, FlinkClass19",B,"FlinkClass341 is a subclass of FlinkClass1, which belongs to Service B.",phi
43,FlinkClass342,"FlinkClass1, FlinkClass9, FlinkClass11, FlinkClass12, FlinkClass19","FlinkClass3, FlinkClass4, FlinkClass7, FlinkClass10, FlinkClass13",B,FlinkClass342 is not in the list of classes for Service A. It belongs to Service B.,phi
44,FlinkClass343,"FlinkClass3, FlinkClass4, FlinkClass7, FlinkClass10, FlinkClass13","FlinkClass2, FlinkClass5, FlinkClass20, FlinkClass21, FlinkClass29",B,"FlinkClass343 is a subclass of FlinkClass2, which belongs to Service B.",phi
45,FlinkClass1981,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass3, FlinkClass4, FlinkClass7, FlinkClass10, FlinkClass13",B,FlinkClass1981 is not in the list of classes for Service A or Service B.,phi
46,FlinkClass334,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass3, FlinkClass4, FlinkClass7, FlinkClass10, FlinkClass13",B,"FlinkClass334 is not in Service A's class list, but it is in Service B's class list.",phi
47,FlinkClass353,"FlinkClass3, FlinkClass4, FlinkClass7, FlinkClass10, FlinkClass13","FlinkClass1, FlinkClass9, FlinkClass11, FlinkClass12, FlinkClass19",B,"FlinkClass353 is a subclass of FlinkClass1, which belongs to Service B.",phi
48,FlinkClass352,"FlinkClass0, FlinkClass16, FlinkClass23, FlinkClass28, FlinkClass33","FlinkClass2, FlinkClass5, FlinkClass20, FlinkClass21, FlinkClass29",B,FlinkClass352 is not in Service A's list of classes.,phi
49,FlinkClass351,"FlinkClass3, FlinkClass4, FlinkClass7, FlinkClass10, FlinkClass13","FlinkClass0, FlinkClass16, FlinkClass23, FlinkClass28, FlinkClass33",B,"FlinkClass351 is a subclass of FlinkClass0, which belongs to Service B.",phi
50,FlinkClass2201,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass0, FlinkClass16, FlinkClass23, FlinkClass28, FlinkClass33",B,"FlinkClass2201 is not in Service A's list of classes, but it is in Service B's list.",phi
51,FlinkClass2075,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass1, FlinkClass9, FlinkClass11, FlinkClass12, FlinkClass19",B,FlinkClass2075 is not in the list of classes for Service A.,phi
52,FlinkClass241,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass1, FlinkClass9, FlinkClass11, FlinkClass12, FlinkClass19",B,It does not handle customer data.,phi
53,FlinkClass264,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass2, FlinkClass5, FlinkClass20, FlinkClass21, FlinkClass29",B,"FlinkClass264 is a subclass of FlinkClass2, which belongs to Service B.",phi
54,FlinkClass308,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass1, FlinkClass9, FlinkClass11, FlinkClass12, FlinkClass19",B,FlinkClass308 is not in Service A or Service B.,phi
55,FlinkClass381,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass0, FlinkClass16, FlinkClass23, FlinkClass28, FlinkClass33",B,FlinkClass381 is not in the list of classes for Service A or Service B.,phi
56,FlinkClass767,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass1, FlinkClass9, FlinkClass11, FlinkClass12, FlinkClass19",B,FlinkClass767 is not in Service A's list of classes.,phi
57,FlinkClass615,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass1, FlinkClass9, FlinkClass11, FlinkClass12, FlinkClass19",B,"FlinkClass615 is a subclass of FlinkClass1, which belongs to Service B.",phi
58,FlinkClass595,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass3, FlinkClass4, FlinkClass7, FlinkClass10, FlinkClass13",B,FlinkClass595 is not in the list of classes for Service A. It belongs to Service B.,phi
59,FlinkClass2175,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass2, FlinkClass5, FlinkClass20, FlinkClass21, FlinkClass29",B,FlinkClass2175 is not in the list of classes for Service A.,phi
60,FlinkClass2160,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass3, FlinkClass4, FlinkClass7, FlinkClass10, FlinkClass13",B,FlinkClass2160 is not in Service A's list of classes.,phi
61,FlinkClass20,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass2, FlinkClass5, FlinkClass20, FlinkClass21, FlinkClass29",B,"FlinkClass20 is a specialized class for handling API-level data transformation logic, which is not found in Service A. Therefore, it belongs to Service B.",phi
62,FlinkClass46,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass2, FlinkClass5, FlinkClass20, FlinkClass21, FlinkClass29",B,"FlinkClass46 is a subclass of FlinkClass5, which belongs to Service B.",phi
63,FlinkClass128,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass2, FlinkClass5, FlinkClass20, FlinkClass21, FlinkClass29",B,"FlinkClass128 is a subclass of FlinkClass20, which belongs to Service B.",phi
64,FlinkClass841,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass0, FlinkClass16, FlinkClass23, FlinkClass28, FlinkClass33",B,"FlinkClass841 is a subclass of FlinkClass0, which belongs to Service B.",phi
65,FlinkClass138,"FlinkClass6, FlinkClass8, FlinkClass25, FlinkClass30, FlinkClass32","FlinkClass1, FlinkClass9, FlinkClass11, FlinkClass12, FlinkClass19",B,"FlinkClass138 is a subclass of FlinkClass1, which belongs to Service B.",phi
