Algorithm,Mode,Run,Coupling,MoJoFM,Hypervolume,LLM_Calls,Dataset,Scenario
NSGA-II,Baseline,0,12306.000000035552,7.223855522889543,430074.72073041,0,Apache-Flink,Structural Conflict
NSGA-II,Baseline,1,12366.00000002985,6.971860562788744,424744.3203448076,0,Apache-Flink,Structural Conflict
NSGA-II,Baseline,2,12404.000000097785,7.307853842923142,421331.1607477237,0,Apache-Flink,Structural Conflict
NSGA-II,Baseline,3,12272.000000190732,7.34985300293994,433063.3204736464,0,Apache-Flink,Structural Conflict
NSGA-II,Baseline,4,12355.000000476335,6.9298614027719445,425726.9508634343,0,Apache-Flink,Structural Conflict
NSGA-II,Baseline,5,12305.000000026492,6.887862242755145,430162.95038765174,0,Apache-Flink,Structural Conflict
NSGA-II,Baseline,6,12316.000000189535,6.9298614027719445,429191.32119955076,0,Apache-Flink,Structural Conflict
NSGA-II,Baseline,7,12326.000000058839,7.139857202855943,428305.91999331693,0,Apache-Flink,Structural Conflict
NSGA-II,Baseline,8,12337.000000035387,6.9298614027719445,427329.67065395304,0,Apache-Flink,Structural Conflict
NSGA-II,Baseline,9,12354.000000008591,7.097858042839143,425816.16035988525,0,Apache-Flink,Structural Conflict
NSGA-II,Baseline,10,12340.000000279751,6.803863922721545,427062.99992749403,0,Apache-Flink,Structural Conflict
NSGA-II,Baseline,11,12291.000000029659,6.593868122637547,431396.070854642,0,Apache-Flink,Structural Conflict
NSGA-II,Baseline,12,12312.000000035332,7.181856362872742,429544.92043159273,0,Apache-Flink,Structural Conflict
NSGA-II,Baseline,13,12271.000000170925,7.601847963040739,433150.8703190127,0,Apache-Flink,Structural Conflict
NSGA-II,Baseline,14,12326.000000076672,7.223855522889543,428305.9199965304,0,Apache-Flink,Structural Conflict
NSGA-II,Baseline,15,12357.0000000474,7.517849643007139,425548.47056239826,0,Apache-Flink,Structural Conflict
NSGA-II,Baseline,16,12331.000000159891,7.097858042839143,427862.4710852541,0,Apache-Flink,Structural Conflict
NSGA-II,Baseline,17,12433.000000007742,7.055858882822344,418706.9502829581,0,Apache-Flink,Structural Conflict
NSGA-II,Baseline,18,12273.000000200327,7.47585048299034,432975.75028140156,0,Apache-Flink,Structural Conflict
NSGA-II,Baseline,19,12261.000000848568,7.055858882822344,434025.26999441395,0,Apache-Flink,Structural Conflict
NSGA-II,Baseline,20,12329.000000425496,7.181856362872742,428039.9099362833,0,Apache-Flink,Structural Conflict
NSGA-II,Baseline,21,12249.000000419868,6.803863922721545,435071.9099867718,0,Apache-Flink,Structural Conflict
NSGA-II,Baseline,22,12283.000000056483,6.845863082738345,432098.95031632716,0,Apache-Flink,Structural Conflict
NSGA-II,Baseline,23,12330.000000071273,7.47585048299034,427951.2004746423,0,Apache-Flink,Structural Conflict
NSGA-II,Baseline,24,12241.000000040234,6.971860562788744,435768.0699956032,0,Apache-Flink,Structural Conflict
NSGA-II,Baseline,25,12261.000000510663,6.971860562788744,434025.26999473735,0,Apache-Flink,Structural Conflict
NSGA-II,Baseline,26,12294.000000191982,7.139857202855943,431132.16066989023,0,Apache-Flink,Structural Conflict
NSGA-II,Baseline,27,12288.000000254724,6.845863082738345,431659.8005178654,0,Apache-Flink,Structural Conflict
NSGA-II,Baseline,28,12291.000000037962,6.551868962620748,431396.0710890868,0,Apache-Flink,Structural Conflict
NSGA-II,Baseline,29,12284.000000436808,6.803863922721545,432011.16112348187,0,Apache-Flink,Structural Conflict
NSGA-II,Semanti-MOP,0,12314.000000158221,6.971860562788744,429368.1606810129,80,Apache-Flink,Structural Conflict
NSGA-II,Semanti-MOP,1,12286.00000066525,7.139857202855943,431835.519914172,80,Apache-Flink,Structural Conflict
NSGA-II,Semanti-MOP,2,12323.00000076744,6.803863922721545,428571.7499229559,80,Apache-Flink,Structural Conflict
NSGA-II,Semanti-MOP,3,12297.000000410273,6.9298614027719445,430868.07087337243,80,Apache-Flink,Structural Conflict
NSGA-II,Semanti-MOP,4,12236.000000328442,7.097858042839143,436202.51996887283,80,Apache-Flink,Structural Conflict
NSGA-II,Semanti-MOP,5,12315.000000504082,7.097858042839143,429279.7510910144,80,Apache-Flink,Structural Conflict
NSGA-II,Semanti-MOP,6,12264.000000298838,6.677866442671146,433763.16049170773,80,Apache-Flink,Structural Conflict
NSGA-II,Semanti-MOP,7,12221.000000008165,7.34985300293994,437502.8701212336,80,Apache-Flink,Structural Conflict
NSGA-II,Semanti-MOP,8,12343.000000601034,7.433851322973541,426796.1499774304,80,Apache-Flink,Structural Conflict
NSGA-II,Semanti-MOP,9,12371.000000220489,6.761864762704746,424296.87081239687,80,Apache-Flink,Structural Conflict
NSGA-II,Semanti-MOP,10,12317.000000035694,7.307853842923142,429102.8707353946,80,Apache-Flink,Structural Conflict
NSGA-II,Semanti-MOP,11,12332.000000155573,7.139857202855943,427773.7205191673,80,Apache-Flink,Structural Conflict
NSGA-II,Semanti-MOP,12,12352.000000023696,6.9298614027719445,425994.51992828934,80,Apache-Flink,Structural Conflict
NSGA-II,Semanti-MOP,13,12266.000000300359,7.307853842923142,433588.3207580731,80,Apache-Flink,Structural Conflict
NSGA-II,Semanti-MOP,14,12349.000000030379,7.0138597228055435,426261.91039487795,80,Apache-Flink,Structural Conflict
NSGA-II,Semanti-MOP,15,12316.000000013106,6.803863922721545,429191.32022032724,80,Apache-Flink,Structural Conflict
NSGA-II,Semanti-MOP,16,12301.000000413493,7.181856362872742,430515.671148408,80,Apache-Flink,Structural Conflict
NSGA-II,Semanti-MOP,17,12376.00000061829,6.887862242755145,423848.9210683366,80,Apache-Flink,Structural Conflict
NSGA-II,Semanti-MOP,18,12326.000000080736,7.34985300293994,428305.9207650153,80,Apache-Flink,Structural Conflict
NSGA-II,Semanti-MOP,19,12310.000000106425,7.055858882822344,429721.6002630424,80,Apache-Flink,Structural Conflict
NSGA-II,Semanti-MOP,20,12384.000000078304,7.55984880302394,423131.16071376775,80,Apache-Flink,Structural Conflict
NSGA-II,Semanti-MOP,21,12315.000000199407,6.887862242755145,429279.7500016376,80,Apache-Flink,Structural Conflict
NSGA-II,Semanti-MOP,22,12216.000000877182,7.223855522889543,437935.3200052794,80,Apache-Flink,Structural Conflict
NSGA-II,Semanti-MOP,23,12335.000000122813,7.223855522889543,427507.3512007626,80,Apache-Flink,Structural Conflict
NSGA-II,Semanti-MOP,24,12361.000000168739,6.803863922721545,425191.271307394,80,Apache-Flink,Structural Conflict
NSGA-II,Semanti-MOP,25,12260.000000846385,7.47585048299034,434112.59994035604,80,Apache-Flink,Structural Conflict
NSGA-II,Semanti-MOP,26,12252.00000000662,7.139857202855943,434810.5206848462,80,Apache-Flink,Structural Conflict
NSGA-II,Semanti-MOP,27,12326.00000005648,7.34985300293994,428305.9210076,80,Apache-Flink,Structural Conflict
NSGA-II,Semanti-MOP,28,12293.000000761771,6.719865602687946,431220.1499438573,80,Apache-Flink,Structural Conflict
NSGA-II,Semanti-MOP,29,12349.000000022519,6.887862242755145,426261.9108271079,80,Apache-Flink,Structural Conflict
MOEA/D,Baseline,0,12484.000000095144,7.223855522889543,414051.16021257814,0,Apache-Flink,Structural Conflict
MOEA/D,Baseline,1,12566.00000023734,6.9298614027719445,406456.31995082373,0,Apache-Flink,Structural Conflict
MOEA/D,Baseline,2,12550.000000069955,7.181856362872742,407948.79994857,0,Apache-Flink,Structural Conflict
MOEA/D,Baseline,3,12560.000000213953,7.0138597228055435,407016.5999496873,0,Apache-Flink,Structural Conflict
MOEA/D,Baseline,4,12522.000000800444,7.097858042839143,410548.3199033951,0,Apache-Flink,Structural Conflict
MOEA/D,Baseline,5,12557.000000403816,6.971860562788744,407296.4707880643,0,Apache-Flink,Structural Conflict
MOEA/D,Baseline,6,12524.000000120974,6.9298614027719445,410363.16105930647,0,Apache-Flink,Structural Conflict
MOEA/D,Baseline,7,12538.000000248303,7.139857202855943,409064.80000796344,0,Apache-Flink,Structural Conflict
MOEA/D,Baseline,8,12568.00000032411,7.685846283074338,406269.3999247822,0,Apache-Flink,Structural Conflict
MOEA/D,Baseline,9,12494.000000278857,7.307853842923142,413132.1606599525,0,Apache-Flink,Structural Conflict
MOEA/D,Baseline,10,12526.000000737129,6.635867282654346,410177.9199621138,0,Apache-Flink,Structural Conflict
MOEA/D,Baseline,11,12534.000000204842,7.181856362872742,409436.16050399345,0,Apache-Flink,Structural Conflict
MOEA/D,Baseline,12,12565.000000076367,6.9298614027719445,406549.75098621595,0,Apache-Flink,Structural Conflict
MOEA/D,Baseline,13,12559.000000980128,6.845863082738345,407109.909947073,0,Apache-Flink,Structural Conflict
MOEA/D,Baseline,14,12566.00000005124,7.223855522889543,406456.3201341892,0,Apache-Flink,Structural Conflict
MOEA/D,Baseline,15,12537.00000010428,6.551868962620748,409157.6703244205,0,Apache-Flink,Structural Conflict
MOEA/D,Baseline,16,12527.00000038532,6.9298614027719445,410085.26997022703,0,Apache-Flink,Structural Conflict
MOEA/D,Baseline,17,12570.000000287904,7.097858042839143,406082.40062064165,0,Apache-Flink,Structural Conflict
MOEA/D,Baseline,18,12568.00000021565,6.845863082738345,406269.3999852749,0,Apache-Flink,Structural Conflict
MOEA/D,Baseline,19,12550.000000045326,7.3918521629567415,407948.8002449421,0,Apache-Flink,Structural Conflict
