,Class,Service A,Service B,Decision,Reason,Model
0,FlinkClass2380,"FlinkClass0, FlinkClass4, FlinkClass6, FlinkClass12, FlinkClass14","FlinkClass2, FlinkClass9, FlinkClass11, FlinkClass18, FlinkClass19",B,FlinkClass2380 is not in Service A's list of classes.,phi
1,FlinkClass833,"FlinkClass2, FlinkClass9, FlinkClass11, FlinkClass18, FlinkClass19","FlinkClass1, FlinkClass10, FlinkClass16, FlinkClass26, FlinkClass30",B,FlinkClass833 is not in Service A's list of classes.,phi
2,FlinkClass877,"FlinkClass2, FlinkClass9, FlinkClass11, FlinkClass18, FlinkClass19","FlinkClass1, FlinkClass10, FlinkClass16, FlinkClass26, FlinkClass30",B,FlinkClass877 is a utility class that can be used by both services.,phi
3,FlinkClass878,"FlinkClass2, FlinkClass9, FlinkClass11, FlinkClass18, FlinkClass19","FlinkClass3, FlinkClass7, FlinkClass8, FlinkClass15, FlinkClass33",B,FlinkClass878 is not in Service A's class list. It belongs to Service B.,phi
4,FlinkClass879,"FlinkClass1, FlinkClass10, FlinkClass16, FlinkClass26, FlinkClass30","FlinkClass5, FlinkClass13, FlinkClass17, FlinkClass20, FlinkClass22",B,FlinkClass879 is not in Service A's list of classes. It belongs to Service B.,phi
5,FlinkClass1833,"FlinkClass5, FlinkClass13, FlinkClass17, FlinkClass20, FlinkClass22","FlinkClass2, FlinkClass9, FlinkClass11, FlinkClass18, FlinkClass19",B,It does not handle customer data.,phi
6,FlinkClass1750,"FlinkClass0, FlinkClass4, FlinkClass6, FlinkClass12, FlinkClass14","FlinkClass3, FlinkClass7, FlinkClass8, FlinkClass15, FlinkClass33",B,FlinkClass1750 is not in the list of classes for Service B.,phi
7,FlinkClass980,"FlinkClass1, FlinkClass10, FlinkClass16, FlinkClass26, FlinkClass30","FlinkClass5, FlinkClass13, FlinkClass17, FlinkClass20, FlinkClass22",B,FlinkClass980 is not in Service A's list of classes.,phi
8,FlinkClass1786,"FlinkClass3, FlinkClass7, FlinkClass8, FlinkClass15, FlinkClass33","FlinkClass2, FlinkClass9, FlinkClass11, FlinkClass18, FlinkClass19",B,FlinkClass1786 is not in Service B's list of classes.,phi
9,FlinkClass1354,"FlinkClass2, FlinkClass9, FlinkClass11, FlinkClass18, FlinkClass19","FlinkClass0, FlinkClass4, FlinkClass6, FlinkClass12, FlinkClass14",B,It does not handle customer data.,phi
10,FlinkClass1118,"FlinkClass1, FlinkClass3, FlinkClass10, FlinkClass17, FlinkClass20","FlinkClass2, FlinkClass4, FlinkClass8, FlinkClass12, FlinkClass13",B,FlinkClass1118 is not in the list of classes for Service A.,phi
11,FlinkClass1129,"FlinkClass2, FlinkClass4, FlinkClass8, FlinkClass12, FlinkClass13","FlinkClass5, FlinkClass14, FlinkClass21, FlinkClass33, FlinkClass38",B,FlinkClass1129 is not in Service B's list of classes.,phi
12,FlinkClass1197,"FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34","FlinkClass2, FlinkClass4, FlinkClass8, FlinkClass12, FlinkClass13",B,"FlinkClass1197 is a utility class that can be used in both services, so it does not belong to either service.",phi
13,FlinkClass644,"FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34","FlinkClass5, FlinkClass14, FlinkClass21, FlinkClass33, FlinkClass38",B,"FlinkClass644 is a utility class that can be used in both services. It does not have any specific functionality related to customer data, so it can be used in either service.",phi
14,FlinkClass1189,"FlinkClass18, FlinkClass23, FlinkClass30, FlinkClass32, FlinkClass34","FlinkClass1, FlinkClass3, FlinkClass10, FlinkClass17, FlinkClass20",B,FlinkClass1189 is not in either of the services A or B.,phi
15,FlinkClass1107,"FlinkClass5, FlinkClass14, FlinkClass21, FlinkClass33, FlinkClass38","FlinkClass0, FlinkClass6, FlinkClass7, FlinkClass9, FlinkClass11",B,FlinkClass1107 is not in Service A's list of classes.,phi
16,FlinkClass1020,"FlinkClass5, FlinkClass14, FlinkClass21, FlinkClass33, FlinkClass38","FlinkClass1, FlinkClass3, FlinkClass10, FlinkClass17, FlinkClass20",B,FlinkClass10210 is not in the list of classes for Service B.,phi
17,FlinkClass2347,"FlinkClass1, FlinkClass3, FlinkClass10, FlinkClass17, FlinkClass20","FlinkClass5, FlinkClass14, FlinkClass21, FlinkClass33, FlinkClass38",B,FlinkClass2347 is not in the list of classes for Service A.,phi
18,FlinkClass1135,"FlinkClass1, FlinkClass3, FlinkClass10, FlinkClass17, FlinkClass20","FlinkClass5, FlinkClass14, FlinkClass21, FlinkClass33, FlinkClass38",B,FlinkClass1135 is not in Service A's list of classes.,phi
19,FlinkClass1138,"FlinkClass5, FlinkClass14, FlinkClass21, FlinkClass33, FlinkClass38","FlinkClass0, FlinkClass6, FlinkClass7, FlinkClass9, FlinkClass11",B,It does not handle customer data.,phi
20,FlinkClass697,"FlinkClass5, FlinkClass14, FlinkClass21, FlinkClass33, FlinkClass38","FlinkClass2, FlinkClass4, FlinkClass8, FlinkClass12, FlinkClass13",A,Default fallback (Could not parse output).,phi
21,FlinkClass1385,"FlinkClass5, FlinkClass14, FlinkClass21, FlinkClass33, FlinkClass38","FlinkClass0, FlinkClass6, FlinkClass7, FlinkClass9, FlinkClass11",B,FlinkClass1385 is not in the list of classes for Service B.,phi
22,FlinkClass1191,"FlinkClass5, FlinkClass14, FlinkClass21, FlinkClass33, FlinkClass38","FlinkClass0, FlinkClass6, FlinkClass7, FlinkClass9, FlinkClass11",B,FlinkClass1191 is not in Service A or B. It belongs to a new service.,phi
23,FlinkClass731,"FlinkClass0, FlinkClass6, FlinkClass7, FlinkClass9, FlinkClass11","FlinkClass1, FlinkClass3, FlinkClass10, FlinkClass17, FlinkClass20",B,FlinkClass731 is not a part of Service A or Service B. It belongs to its own class.,phi
24,FlinkClass1362,"FlinkClass2, FlinkClass4, FlinkClass8, FlinkClass12, FlinkClass13","FlinkClass5, FlinkClass14, FlinkClass21, FlinkClass33, FlinkClass38",B,FlinkClass1362 is not in Service B's list of classes.,phi
25,FlinkClass821,"FlinkClass5, FlinkClass14, FlinkClass21, FlinkClass33, FlinkClass38","FlinkClass1, FlinkClass3, FlinkClass10, FlinkClass17, FlinkClass20",B,FlinkClass821 is not in Service A's class list.,phi
