Algorithm,Mode,Run,Coupling,MoJoFM,Hypervolume,LLM_Calls
NSGA-II,Baseline,0,20.00000000158623,67.74193548387096,11.100002873677749,0
NSGA-II,Baseline,1,21.000000000200785,41.935483870967744,11.160001176525876,0
NSGA-II,Baseline,2,13.00000000386616,58.06451612903226,10.120005478103991,0
NSGA-II,Baseline,3,22.000000258332715,54.83870967741935,11.200003624268952,0
NSGA-II,Baseline,4,18.00000002007078,51.61290322580645,10.920002261063065,0
NSGA-II,Baseline,5,17.00000000824358,74.19354838709677,10.80000215103802,0
NSGA-II,Baseline,6,16.000000025428275,54.83870967741935,10.66000310243475,0
NSGA-II,Baseline,7,11.000000362337193,61.29032258064516,9.660003632752867,0
NSGA-II,Baseline,8,14.000000405957993,58.06451612903226,10.320006082414595,0
NSGA-II,Baseline,9,13.000000000711971,58.06451612903226,10.120003679311079,0
NSGA-II,Semanti-MOP,0,19.00000031374073,51.61290322580645,11.019999873013832,80
NSGA-II,Semanti-MOP,1,21.000000719465376,51.61290322580645,11.160005291470924,80
NSGA-II,Semanti-MOP,2,18.000000009476615,64.51612903225806,10.920002775821288,80
NSGA-II,Semanti-MOP,3,17.000000007969582,48.38709677419355,10.800006451245771,80
NSGA-II,Semanti-MOP,4,16.000000331958294,61.29032258064516,10.660000069551684,80
NSGA-II,Semanti-MOP,5,14.000000025473504,51.61290322580645,10.320001115200215,80
NSGA-II,Semanti-MOP,6,20.000000140744227,61.29032258064516,11.099999982046421,80
NSGA-II,Semanti-MOP,7,22.000000464897848,51.61290322580645,11.20000015700257,80
NSGA-II,Semanti-MOP,8,23.000000008100148,54.83870967741935,11.220005333670514,80
NSGA-II,Semanti-MOP,9,21.00000003822087,54.83870967741935,11.160001934676146,80
MOEA/D,Baseline,0,33.00000021740396,51.61290322580645,10.32000108917992,0
MOEA/D,Baseline,1,35.00000086735302,45.16129032258064,9.900004539117633,0
MOEA/D,Baseline,2,30.000000818151694,45.16129032258064,10.800000007224813,0
MOEA/D,Baseline,3,33.00000043599091,51.61290322580645,10.320003219355344,0
MOEA/D,Baseline,4,34.000000417709664,54.83870967741935,10.120001115801218,0
MOEA/D,Baseline,5,30.000000665268935,45.16129032258064,10.800000024541271,0
MOEA/D,Baseline,6,30.00000018916705,58.06451612903226,10.800002644869013,0
MOEA/D,Baseline,7,35.000000317103805,45.16129032258064,9.900000854291358,0
MOEA/D,Baseline,8,32.00000008800339,48.38709677419355,10.499999987883792,0
MOEA/D,Baseline,9,37.00000047182127,61.29032258064516,9.400004276506255,0
MOEA/D,Semanti-MOP,0,30.000000124184243,41.935483870967744,10.800001658373565,27
MOEA/D,Semanti-MOP,1,34.000000881465084,41.935483870967744,10.119999921626537,29
MOEA/D,Semanti-MOP,2,33.000000753614074,48.38709677419355,10.320002512138307,31
MOEA/D,Semanti-MOP,3,28.00000013899495,51.61290322580645,11.020000024545514,45
MOEA/D,Semanti-MOP,4,32.000000704665844,45.16129032258064,10.500001801017037,26
MOEA/D,Semanti-MOP,5,30.00000070388372,45.16129032258064,10.800004972598781,26
MOEA/D,Semanti-MOP,6,34.00000026959447,48.38709677419355,10.120002294084864,35
MOEA/D,Semanti-MOP,7,29.000000924967548,58.06451612903226,10.920004457492245,57
MOEA/D,Semanti-MOP,8,33.00000038528553,48.38709677419355,10.320000920934973,0
MOEA/D,Semanti-MOP,9,29.000000425956486,51.61290322580645,10.920003709066455,22
NSGA-III,Baseline,0,11.000000047237764,70.96774193548387,9.660002456199718,0
NSGA-III,Baseline,1,20.000000015331416,74.19354838709677,11.100001853654952,0
NSGA-III,Baseline,2,8.000000003650158,61.29032258064516,8.82000066874567,0
NSGA-III,Baseline,3,14.000000436695869,61.29032258064516,10.320002142901771,0
NSGA-III,Baseline,4,17.000000585404607,54.83870967741935,10.800003433846296,0
NSGA-III,Baseline,5,13.000000000826713,74.19354838709677,10.120004980062168,0
NSGA-III,Baseline,6,9.00000002649817,61.29032258064516,9.120003428728984,0
NSGA-III,Baseline,7,13.000000042891646,51.61290322580645,10.12000253235854,0
NSGA-III,Baseline,8,22.0000000797607,51.61290322580645,11.20000314868377,0
NSGA-III,Baseline,9,13.000000037756394,58.06451612903226,10.120000311481189,0
NSGA-III,Semanti-MOP,0,16.00000091751324,58.06451612903226,10.660004198344499,80
NSGA-III,Semanti-MOP,1,21.00000052917255,48.38709677419355,11.160002831369885,80
NSGA-III,Semanti-MOP,2,20.00000027864221,45.16129032258064,11.100003341761763,80
NSGA-III,Semanti-MOP,3,16.000000654835162,58.06451612903226,10.660003244110385,80
NSGA-III,Semanti-MOP,4,21.00000024141945,54.83870967741935,11.16000033716831,80
NSGA-III,Semanti-MOP,5,20.000000326410003,48.38709677419355,11.10000114554972,80
NSGA-III,Semanti-MOP,6,18.00000014024498,48.38709677419355,10.9200039178605,80
NSGA-III,Semanti-MOP,7,21.000000003533643,54.83870967741935,11.160004556471586,80
NSGA-III,Semanti-MOP,8,16.000000001878053,54.83870967741935,10.66000167779493,80
NSGA-III,Semanti-MOP,9,19.000000002852506,48.38709677419355,11.020003930284766,80
AGE-MOEA-II,Baseline,0,19.000000037795466,48.38709677419355,11.020001554291635,0
AGE-MOEA-II,Baseline,1,10.000000020408546,64.51612903225806,9.400002902566005,0
AGE-MOEA-II,Baseline,2,14.000000000401776,61.29032258064516,10.32000312499849,0
AGE-MOEA-II,Baseline,3,11.000000156428133,70.96774193548387,9.660004813284102,0
AGE-MOEA-II,Baseline,4,13.00000046992982,67.74193548387096,10.120003221116281,0
AGE-MOEA-II,Baseline,5,20.000000019915234,58.06451612903226,11.100003086490865,0
AGE-MOEA-II,Baseline,6,10.00000000367348,64.51612903225806,9.400003405590947,0
AGE-MOEA-II,Baseline,7,17.000000094330982,58.06451612903226,10.80000360803418,0
AGE-MOEA-II,Baseline,8,18.000000002564036,64.51612903225806,10.92000085166871,0
AGE-MOEA-II,Baseline,9,9.000000014320381,58.06451612903226,9.120003400376584,0
AGE-MOEA-II,Semanti-MOP,0,10.000000041040712,58.06451612903226,9.400002883307323,80
