Algorithm,Mode,Run,Coupling,MoJoFM,Hypervolume,LLM_Calls
NSGA-II,Baseline,0,17.000000044447066,51.61290322580645,10.800002432511704,0
NSGA-II,Baseline,1,18.00000084035674,61.29032258064516,10.920004383678442,0
NSGA-II,Semanti-MOP,0,15.00000056956768,61.29032258064516,10.500000025250609,80
NSGA-II,Semanti-MOP,1,21.000000140423584,58.06451612903226,11.160000041699913,80
MOEA/D,Baseline,0,30.000000561115264,51.61290322580645,10.800004156727216,0
MOEA/D,Baseline,1,32.00000036711119,45.16129032258064,10.50000318760867,0
MOEA/D,Semanti-MOP,0,35.0000003388756,41.935483870967744,9.900004619455887,32
MOEA/D,Semanti-MOP,1,30.000000629217123,58.06451612903226,10.800002098658336,18
NSGA-III,Baseline,0,15.00000006082934,54.83870967741935,10.500002926655075,0
NSGA-III,Baseline,1,14.000000028341342,70.96774193548387,10.320002891126402,0
NSGA-III,Semanti-MOP,0,11.000000051747813,61.29032258064516,9.660003344501822,80
NSGA-III,Semanti-MOP,1,11.000000229877077,51.61290322580645,9.659999978727148,80
AGE-MOEA-II,Baseline,0,15.000000039863128,54.83870967741935,10.500002356510322,0
AGE-MOEA-II,Baseline,1,17.000000054396224,64.51612903225806,10.800003945613634,0
AGE-MOEA-II,Semanti-MOP,0,17.000000025333062,51.61290322580645,10.800005136052723,80
AGE-MOEA-II,Semanti-MOP,1,14.00000000043845,45.16129032258064,10.320002599829783,80
R-NSGA-II,Baseline,0,14.00000062895781,54.83870967741935,10.320004612394804,0
R-NSGA-II,Baseline,1,18.000000024189536,67.74193548387096,10.920001987630547,0
R-NSGA-II,Semanti-MOP,0,19.000000090649696,64.51612903225806,11.020001184735623,80
R-NSGA-II,Semanti-MOP,1,19.000000948189353,58.06451612903226,11.020000172110985,80
U-NSGA-III,Baseline,0,17.00000026186484,61.29032258064516,10.800003291116738,0
U-NSGA-III,Baseline,1,8.000000038027352,61.29032258064516,8.820005463677914,0
U-NSGA-III,Semanti-MOP,0,14.000000000221634,61.29032258064516,10.32000388547601,80
U-NSGA-III,Semanti-MOP,1,23.00000001028896,48.38709677419355,11.220003578268313,80
Random Search,Baseline,0,32.00000000035505,51.61290322580645,10.500003663306137,0
Random Search,Baseline,1,33.000000005673115,51.61290322580645,10.320004774226387,0
Random Search,Semanti-MOP,0,31.000000001527233,54.83870967741935,10.6600031282959,80
Random Search,Semanti-MOP,1,30.00000004299285,48.38709677419355,10.800003077783968,80
