Algorithm,Mode,Run,Coupling,MoJoFM,Hypervolume,LLM_Calls,,,,
NSGA-II,Baseline,0,7538.000000713966,3.2367972742759794,169075.20049968173,0,,,,
NSGA-II,Baseline,1,7533.000001,3.2367972742759794,169340.34995270686,0,,,,
NSGA-II,Semanti-MOP,0,7517.000000409544,3.2367972742759794,170185.47057564495,80,,,,
NSGA-II,Semanti-MOP,1,7506.000000372248,3.4071550255536627,170763.51995440104,80,,,,
MOEA/D,Baseline,0,7762.000001,3.4071550255536627,156683.52024233693,0,,,,
MOEA/D,Baseline,1,7761.000000932073,3.0664395229982966,156741.06994119624,0,,,,
MOEA/D,Semanti-MOP,0,7760.000000150567,3.1516183986371376,156798.6001174842,2,,,,
MOEA/D,Semanti-MOP,1,7745.000000890313,3.2367972742759794,157659.15051254167,37,,shopizer- structural conflict,,
NSGA-III,Baseline,0,7549.000000017857,3.0664395229982966,168490.10998280518,0,,,,
NSGA-III,Baseline,1,7459.000000238156,3.6626916524701874,173206.1099445497,0,,,,
NSGA-III,Semanti-MOP,0,7499.000000157376,3.4071550255536627,171130.10995503396,80,,,,
NSGA-III,Semanti-MOP,1,7514.000000071666,3.321976149914821,170343.35999217848,80,,,,
AGE-MOEA-II,Baseline,0,7444.0000007802955,3.4071550255536627,173976.3608066308,0,,,,
AGE-MOEA-II,Baseline,1,7595.000000460419,3.1516183986371376,166017.15026528842,0,,,,
AGE-MOEA-II,Semanti-MOP,0,7505.000000440326,3.4071550255536627,170815.9500083784,80,,,,
AGE-MOEA-II,Semanti-MOP,1,7466,3.492333901192504,172845.12000571215,80,,,,
R-NSGA-II,Baseline,0,7572.000000379048,3.321976149914821,167258.92035726848,0,,,,
R-NSGA-II,Baseline,1,7487.000000424024,3.2367972742759794,171756.27071256898,0,,,,
R-NSGA-II,Semanti-MOP,0,7579.000000065983,3.492333901192504,166882.11041243345,80,,,,
R-NSGA-II,Semanti-MOP,1,7571.000000485591,3.492333901192504,167312.66999768864,80,,,,
U-NSGA-III,Baseline,0,7470.0000005492875,3.321976149914821,172638.3999506969,0,,,,
U-NSGA-III,Baseline,1,7495.000000404201,3.9182282793867125,171339.15031446746,0,,,,
U-NSGA-III,Semanti-MOP,0,7415.000000189444,3.6626916524701874,175452.74995134116,80,,,,
U-NSGA-III,Semanti-MOP,1,7474,3.747870528109029,172431.35994466505,80,,,,
Random Search,Baseline,0,7710.000000032971,3.321976149914821,159649.60040668875,0,,,,
Random Search,Baseline,1,7746.000000018541,3.2367972742759794,157601.9202964042,0,,,,
Random Search,Semanti-MOP,0,7697,2.810902896081772,160382.66996211975,80,,,,
Random Search,Semanti-MOP,1,7729.000000002835,3.2367972742759794,158572.1103216895,80,,,,
