,,shopizer- structural conflict,,,,
,,,,,,
,Class,Service A,Service B,Decision,Reason,Model
0,MavenWrapperDownloader,"MavenWrapperDownloader, DbConfig, AsynchronousEventsConfiguration, SaveProductAttributeEvent, SystemConstants","DataConfiguration, DeleteProductEvent, DeleteProductImageEvent, DeleteProductVariantEvent, SaveProductEvent",B,it manages product data,llama2
1,FieldMatchValidator,"DroolsBeanFactory, ModulesConfiguration, ProcessorsConfiguration, PublishProductAspect, SaveProductImageEvent","ApplicationSearchConfiguration, CoreApplicationConfiguration, DeleteProductAttributeEvent, ProductAttributeEvent, ProductEvent",B,it manages product data,llama2
2,FieldMatch,"ShippingConstants, AssetsManager, ContentAssetsManager, FolderList, S3CacheManagerImpl","ApplicationSearchConfiguration, CoreApplicationConfiguration, DeleteProductAttributeEvent, ProductAttributeEvent, ProductEvent",B,it manages product data,llama2
3,SaveProductImageEvent,"DroolsBeanFactory, ModulesConfiguration, ProcessorsConfiguration, PublishProductAspect, SaveProductImageEvent","MavenWrapperDownloader, DbConfig, AsynchronousEventsConfiguration, SaveProductAttributeEvent, SystemConstants",B,it belongs to Service B as it is related to the master data (Catalog),llama2
4,SaveProductVariantEvent,"ApplicationSearchConfiguration, CoreApplicationConfiguration, DeleteProductAttributeEvent, ProductAttributeEvent, ProductEvent","MavenWrapperDownloader, DbConfig, AsynchronousEventsConfiguration, SaveProductAttributeEvent, SaveProductImageEvent",B,Inferred from raw text output due to JSON parsing failure.,llama2
5,ReadableGroup,"DataConfiguration, Constants, ImageGet, FileRemove, ImagePut","MavenWrapperDownloader, DroolsBeanFactory, AsynchronousEventsConfiguration, ProductAttributeEvent, PublishProductAspect",B,it manages product catalog data,llama2
6,MerchantLogService,"CoreApplicationConfiguration, DeleteProductAttributeEvent, DeleteProductVariantEvent, ProductEvent, SaveProductAttributeEvent","DataConfiguration, Constants, ImageGet, FileRemove, ImagePut",B,it manages product data,llama2
7,ShoppingCartItem,"DataConfiguration, Constants, ImageGet, FileRemove, ImagePut","ApplicationSearchConfiguration, ProcessorsConfiguration, SaveProductImageEvent, SaveProductVariantEvent, IndexProductEventListener",B,it handles product data and events,llama2
8,CustomerOptionValueDescription,"MavenWrapperDownloader, ModulesConfiguration, DeleteProductEvent, DeleteProductImageEvent, SaveProductEvent","DataConfiguration, Constants, ImageGet, FileRemove, ImagePut",B,it belongs to Service B as it handles master data,llama2
9,IntegrationModule,"ApplicationSearchConfiguration, ProcessorsConfiguration, SaveProductImageEvent, SaveProductVariantEvent, IndexProductEventListener","MavenWrapperDownloader, ModulesConfiguration, DeleteProductEvent, DeleteProductImageEvent, SaveProductEvent",B,it manages product data,llama2
10,PersistableMerchantStore,"CoreApplicationConfiguration, DeleteProductAttributeEvent, DeleteProductVariantEvent, ProductEvent, SaveProductAttributeEvent","ApplicationSearchConfiguration, ProcessorsConfiguration, SaveProductImageEvent, SaveProductVariantEvent, IndexProductEventListener",B,it manages product data,llama2
11,BeanUtils,"DataConfiguration, Constants, ImageGet, FileRemove, ImagePut","CoreApplicationConfiguration, DeleteProductAttributeEvent, DeleteProductVariantEvent, ProductEvent, SaveProductAttributeEvent",B,Inferred from raw text output due to JSON parsing failure.,llama2
12,OrderTotalService,"DataConfiguration, Constants, ImageGet, FileRemove, ImagePut","MavenWrapperDownloader, DroolsBeanFactory, AsynchronousEventsConfiguration, ProductAttributeEvent, PublishProductAspect",B,it manages order-related data,llama2
13,SearchService,"CoreApplicationConfiguration, DeleteProductAttributeEvent, DeleteProductVariantEvent, ProductEvent, SaveProductAttributeEvent","MavenWrapperDownloader, DroolsBeanFactory, AsynchronousEventsConfiguration, ProductAttributeEvent, PublishProductAspect",B,it manages product data and events,llama2
14,ReadableProductDefinitionMapper,"ApplicationSearchConfiguration, ProcessorsConfiguration, SaveProductImageEvent, SaveProductVariantEvent, IndexProductEventListener","MavenWrapperDownloader, ModulesConfiguration, DeleteProductEvent, DeleteProductImageEvent, SaveProductEvent",B,it manages product data,llama2
15,OrderProductRepository,"DataConfiguration, Constants, ImageGet, FileRemove, ImagePut","MavenWrapperDownloader, DroolsBeanFactory, AsynchronousEventsConfiguration, ProductAttributeEvent, PublishProductAspect",B,it manages order-related data,llama2
16,ProductImageRepository,"MavenWrapperDownloader, ModulesConfiguration, DeleteProductEvent, DeleteProductImageEvent, SaveProductEvent","MavenWrapperDownloader, DroolsBeanFactory, AsynchronousEventsConfiguration, ProductAttributeEvent, PublishProductAspect",B,it manages product images and belongs to Service B,llama2
17,PageableProductOptionValueRepository,"MavenWrapperDownloader, ModulesConfiguration, DeleteProductEvent, DeleteProductImageEvent, SaveProductEvent","ApplicationSearchConfiguration, ProcessorsConfiguration, SaveProductImageEvent, SaveProductVariantEvent, IndexProductEventListener",B,Inferred from raw text output due to JSON parsing failure.,llama2
18,PageInformation,"MavenWrapperDownloader, ModulesConfiguration, DeleteProductEvent, DeleteProductImageEvent, SaveProductEvent","ApplicationSearchConfiguration, ProcessorsConfiguration, SaveProductImageEvent, SaveProductVariantEvent, IndexProductEventListener",B,it handles product data,llama2
19,ContactForm,"DataConfiguration, Constants, ImageGet, FileRemove, ImagePut","MavenWrapperDownloader, DroolsBeanFactory, AsynchronousEventsConfiguration, ProductAttributeEvent, PublishProductAspect",B,Inferred from raw text output due to JSON parsing failure.,llama2
20,CustomerOption,"MavenWrapperDownloader, DroolsBeanFactory, AsynchronousEventsConfiguration, ProductAttributeEvent, PublishProductAspect","CoreApplicationConfiguration, DeleteProductAttributeEvent, DeleteProductVariantEvent, ProductEvent, SaveProductAttributeEvent",B,it manages product data,llama2
21,ReadableCategoryMapper,"ApplicationSearchConfiguration, ProcessorsConfiguration, SaveProductImageEvent, SaveProductVariantEvent, IndexProductEventListener","DataConfiguration, Constants, ImageGet, FileRemove, ImagePut",B,it manages catalog data,llama2
22,UserRepository,"DataConfiguration, Constants, ImageGet, FileRemove, ImagePut","CoreApplicationConfiguration, DeleteProductAttributeEvent, DeleteProductVariantEvent, ProductEvent, SaveProductAttributeEvent",B,it manages product data,llama2
23,LanguageRepository,"DataConfiguration, Constants, ImageGet, FileRemove, ImagePut","CoreApplicationConfiguration, DeleteProductAttributeEvent, DeleteProductVariantEvent, ProductEvent, SaveProductAttributeEvent",B,it manages product data,llama2
24,CurrencyRepository,"MavenWrapperDownloader, ModulesConfiguration, DeleteProductEvent, DeleteProductImageEvent, SaveProductEvent","CoreApplicationConfiguration, DeleteProductAttributeEvent, DeleteProductVariantEvent, ProductEvent, SaveProductAttributeEvent",B,Inferred from raw text output due to JSON parsing failure.,llama2
25,MerchantRepositoryCustom,"CoreApplicationConfiguration, DeleteProductAttributeEvent, DeleteProductVariantEvent, ProductEvent, SaveProductAttributeEvent","ApplicationSearchConfiguration, ProcessorsConfiguration, SaveProductImageEvent, SaveProductVariantEvent, IndexProductEventListener",B,it handles product data and events,llama2
26,CountryRepository,"DataConfiguration, Constants, ImageGet, FileRemove, ImagePut","CoreApplicationConfiguration, DeleteProductAttributeEvent, DeleteProductVariantEvent, ProductEvent, SaveProductAttributeEvent",B,Inferred from raw text output due to JSON parsing failure.,llama2
27,OrderProductPopulator,"MavenWrapperDownloader, DroolsBeanFactory, AsynchronousEventsConfiguration, ProductAttributeEvent, PublishProductAspect","ApplicationSearchConfiguration, ProcessorsConfiguration, SaveProductImageEvent, SaveProductVariantEvent, IndexProductEventListener",B,Inferred from raw text output due to JSON parsing failure.,llama2
28,AsyncConfig,"ApplicationSearchConfiguration, ProcessorsConfiguration, SaveProductImageEvent, SaveProductVariantEvent, IndexProductEventListener","MavenWrapperDownloader, DroolsBeanFactory, AsynchronousEventsConfiguration, ProductAttributeEvent, PublishProductAspect",B,it manages product data,llama2
29,ReadableProductReviewPopulator,"DataConfiguration, Constants, ImageGet, FileRemove, ImagePut","MavenWrapperDownloader, DroolsBeanFactory, AsynchronousEventsConfiguration, ProductAttributeEvent, PublishProductAspect",B,Inferred from raw text output due to JSON parsing failure.,llama2
30,ProductAttributeValueDescription,"MavenWrapperDownloader, DroolsBeanFactory, AsynchronousEventsConfiguration, ProductAttributeEvent, PublishProductAspect","CoreApplicationConfiguration, DeleteProductAttributeEvent, DeleteProductVariantEvent, ProductEvent, SaveProductAttributeEvent",B,it manages product data,llama2
31,PermissionRepositoryImpl,"CoreApplicationConfiguration, DeleteProductAttributeEvent, DeleteProductVariantEvent, ProductEvent, SaveProductAttributeEvent","MavenWrapperDownloader, DroolsBeanFactory, AsynchronousEventsConfiguration, ProductAttributeEvent, PublishProductAspect",B,it manages product data,llama2
32,OutputContentFile,"MavenWrapperDownloader, DroolsBeanFactory, AsynchronousEventsConfiguration, ProductAttributeEvent, PublishProductAspect","ApplicationSearchConfiguration, ProcessorsConfiguration, SaveProductImageEvent, SaveProductVariantEvent, IndexProductEventListener",B,it handles product data,llama2
33,DimensionUnitOfMeasure,"MavenWrapperDownloader, ModulesConfiguration, DeleteProductEvent, DeleteProductImageEvent, SaveProductEvent","MavenWrapperDownloader, DroolsBeanFactory, AsynchronousEventsConfiguration, ProductAttributeEvent, PublishProductAspect",B,it belongs to Service B as it is related to master data (Catalog),llama2
34,ReadableOrderList,"MavenWrapperDownloader, ModulesConfiguration, DeleteProductEvent, DeleteProductImageEvent, SaveProductEvent","MavenWrapperDownloader, DroolsBeanFactory, AsynchronousEventsConfiguration, ProductAttributeEvent, PublishProductAspect",B,it manages product catalog data,llama2
